UID,Category,Subcategory,ItemName,Margin,SellPrice
9207021,Noodles & Pasta,Pasta,Pasta_5,0.25,100
9208155,Noodles & Pasta,Pasta,Pasta_6,0.22,144
9208162,Noodles & Pasta,Pasta,Pasta_7,0.25,35
9208169,Noodles & Pasta,Pasta,Pasta_8,0.23,144
9208176,Noodles & Pasta,Pasta,Pasta_9,0.23,40
9208344,Noodles & Pasta,Pasta,Pasta_10,0.24,12
9208358,Noodles & Pasta,Pasta,Pasta_11,0.22,12
9216296,Noodles & Pasta,Pasta,Pasta_12,0.21,30
9216324,Noodles & Pasta,Pasta,Pasta_13,0.22,59
9216331,Noodles & Pasta,Pasta,Pasta_14,0.21,54
9216373,Noodles & Pasta,Pasta,Pasta_15,0.22,12
9217619,Noodles & Pasta,Pasta,Pasta_16,0.2,25
9201519,Noodles & Pasta,Plain Noodles,Plain Noodles_1,0.23,25
9208302,Noodles & Pasta,Plain Noodles,Plain Noodles_2,0.2,55
9213447,Noodles & Pasta,Plain Noodles,Plain Noodles_3,0.21,25
9213454,Noodles & Pasta,Plain Noodles,Plain Noodles_4,0.24,25
9213461,Noodles & Pasta,Plain Noodles,Plain Noodles_5,0.24,10
9213468,Noodles & Pasta,Plain Noodles,Plain Noodles_6,0.23,10
9213503,Noodles & Pasta,Plain Noodles,Plain Noodles_7,0.23,25
9217339,Noodles & Pasta,Plain Noodles,Plain Noodles_8,0.24,25
9216310,Noodles & Pasta,Vermicelli,Vermicelli_1,0.23,42
9216338,Noodles & Pasta,Vermicelli,Vermicelli_2,0.22,40
9216345,Noodles & Pasta,Vermicelli,Vermicelli_3,0.23,77
9216359,Noodles & Pasta,Vermicelli,Vermicelli_4,0.25,12
9217549,Noodles & Pasta,Vermicelli,Vermicelli_5,0.24,10
104809,Biscuits,Cakes,Cakes_1,0.25,20
105691,Biscuits,Cakes,Cakes_2,0.24,12
105698,Biscuits,Cakes,Cakes_3,0.21,12
111137,Biscuits,Cakes,Cakes_4,0.21,18
112432,Biscuits,Cakes,Cakes_5,0.22,11
103892,Biscuits,Cheese Base,Cheese Base_1,0.25,48
101463,Biscuits,Cookies,Cookies_1,0.21,18
104249,Biscuits,Cookies,Cookies_2,0.25,10
104263,Biscuits,Cookies,Cookies_3,0.22,10
104277,Biscuits,Cookies,Cookies_4,0.2,14
105404,Biscuits,Cookies,Cookies_5,0.2,18
105642,Biscuits,Cookies,Cookies_6,0.24,20
106286,Biscuits,Cookies,Cookies_7,0.2,18
106293,Biscuits,Cookies,Cookies_8,0.21,18
106300,Biscuits,Cookies,Cookies_9,0.2,37
111081,Biscuits,Cookies,Cookies_10,0.21,10
111088,Biscuits,Cookies,Cookies_11,0.24,18
111102,Biscuits,Cookies,Cookies_12,0.23,18
111928,Biscuits,Cookies,Cookies_13,0.23,19
111935,Biscuits,Cookies,Cookies_14,0.2,15
112075,Biscuits,Cookies,Cookies_15,0.21,38
112131,Biscuits,Cookies,Cookies_16,0.2,9
112201,Biscuits,Cookies,Cookies_17,0.24,19
112915,Biscuits,Cookies,Cookies_18,0.23,27
113412,Biscuits,Cookies,Cookies_19,0.2,15
101274,Biscuits,Cream,Cream_1,0.25,11
101414,Biscuits,Cream,Cream_2,0.24,11
101484,Biscuits,Cream,Cream_3,0.2,18
101491,Biscuits,Cream,Cream_4,0.23,18
101505,Biscuits,Cream,Cream_5,0.23,18
103836,Biscuits,Cream,Cream_6,0.24,14
104193,Biscuits,Cream,Cream_7,0.24,11
104200,Biscuits,Cream,Cream_8,0.24,11
105369,Biscuits,Cream,Cream_9,0.21,15
105565,Biscuits,Cream,Cream_10,0.22,59
105586,Biscuits,Cream,Cream_11,0.23,10
106566,Biscuits,Cream,Cream_12,0.25,18
106580,Biscuits,Cream,Cream_13,0.24,10
109303,Biscuits,Cream,Cream_14,0.24,18
111067,Biscuits,Cream,Cream_15,0.2,12
111074,Biscuits,Cream,Cream_16,0.21,20
111984,Biscuits,Cream,Cream_17,0.2,18
112082,Biscuits,Cream,Cream_18,0.22,20
112103,Biscuits,Cream,Cream_19,0.25,15
112677,Biscuits,Cream,Cream_20,0.25,12
112831,Biscuits,Cream,Cream_21,0.25,30
112957,Biscuits,Cream,Cream_22,0.2,10
112964,Biscuits,Cream,Cream_23,0.24,12
112985,Biscuits,Cream,Cream_24,0.23,19
112992,Biscuits,Cream,Cream_25,0.22,14
112999,Biscuits,Cream,Cream_26,0.24,5
113006,Biscuits,Cream,Cream_27,0.2,22
113174,Biscuits,Cream,Cream_28,0.23,18
113181,Biscuits,Cream,Cream_29,0.25,10
113188,Biscuits,Cream,Cream_30,0.25,18
113258,Biscuits,Cream,Cream_31,0.2,10
113349,Biscuits,Cream,Cream_32,0.21,18
113356,Biscuits,Cream,Cream_33,0.2,18
113363,Biscuits,Cream,Cream_34,0.2,13
113370,Biscuits,Cream,Cream_35,0.21,18
113384,Biscuits,Cream,Cream_36,0.23,18
113391,Biscuits,Cream,Cream_37,0.2,18
104872,Biscuits,Glucose/ Milk,Glucose/ Milk_1,0.24,10
111438,Biscuits,Glucose/ Milk,Glucose/ Milk_2,0.25,18
112145,Biscuits,Glucose/ Milk,Glucose/ Milk_3,0.25,20
112922,Biscuits,Glucose/ Milk,Glucose/ Milk_4,0.22,19
113251,Biscuits,Glucose/ Milk,Glucose/ Milk_5,0.23,40
102541,Biscuits,Health,Health_1,0.22,43
102548,Biscuits,Health,Health_2,0.23,43
102555,Biscuits,Health,Health_3,0.21,43
110129,Biscuits,Health,Health_4,0.22,18
111942,Biscuits,Health,Health_5,0.2,10
111949,Biscuits,Health,Health_6,0.2,12
112628,Biscuits,Health,Health_7,0.2,15
113279,Biscuits,Health,Health_8,0.25,20
105551,Biscuits,Marie,Marie_1,0.25,11
105663,Biscuits,Marie,Marie_2,0.22,20
105684,Biscuits,Marie,Marie_3,0.24,15
112208,Biscuits,Marie,Marie_4,0.25,22
112670,Biscuits,Marie,Marie_5,0.21,13
101421,Biscuits,Plain/ Salted,Plain/ Salted_1,0.22,18
104998,Biscuits,Plain/ Salted,Plain/ Salted_2,0.2,18
105390,Biscuits,Plain/ Salted,Plain/ Salted_3,0.24,10
105397,Biscuits,Plain/ Salted,Plain/ Salted_4,0.2,10
105411,Biscuits,Plain/ Salted,Plain/ Salted_5,0.24,18
105670,Biscuits,Plain/ Salted,Plain/ Salted_6,0.21,28
112215,Biscuits,Plain/ Salted,Plain/ Salted_7,0.25,15
112929,Biscuits,Plain/ Salted,Plain/ Salted_8,0.22,19
112936,Biscuits,Plain/ Salted,Plain/ Salted_9,0.22,14
112943,Biscuits,Plain/ Salted,Plain/ Salted_10,0.2,10
112950,Biscuits,Plain/ Salted,Plain/ Salted_11,0.21,10
113027,Biscuits,Plain/ Salted,Plain/ Salted_12,0.25,19
113034,Biscuits,Plain/ Salted,Plain/ Salted_13,0.2,10
113069,Biscuits,Plain/ Salted,Plain/ Salted_14,0.21,14
113146,Biscuits,Plain/ Salted,Plain/ Salted_15,0.24,18
113377,Biscuits,Plain/ Salted,Plain/ Salted_16,0.25,20
102562,Biscuits,Rusk,Rusk_1,0.23,33
113013,Biscuits,Rusk,Rusk_2,0.25,18
101722,Biscuits,Waffers,Waffers_1,0.24,19
101729,Biscuits,Waffers,Waffers_2,0.22,19
101743,Biscuits,Waffers,Waffers_3,0.21,15
8100196,Bread,Brown,Brown_1,0.3,18
8100021,Bread,Buns,Buns_1,0.28,18
8100357,Bread,Buns,Buns_2,0.3,18
8100364,Bread,Buns,Buns_3,0.28,18
8100658,Bread,Buns,Buns_4,0.29,18
8100273,Bread,Flavored Breads,Flavored Breads_1,0.25,18
8100133,Bread,Health Based,Health Based_1,0.26,18
8100147,Bread,Milk,Milk_1,0.3,18
8100371,Bread,Pizza Base,Pizza Base_1,0.3,14
8100378,Bread,Pizza Base,Pizza Base_2,0.26,15
8100406,Bread,Rolls,Rolls_1,0.3,18
8100413,Bread,Rolls,Rolls_2,0.26,18
8100350,Bread,Rusks,Rusks_1,0.3,25
8100028,Bread,Sandwich,Sandwich_1,0.3,18
8100210,Bread,Sandwich,Sandwich_2,0.29,18
8100266,Bread,Sandwich,Sandwich_3,0.3,18
8100399,Bread,Sandwich,Sandwich_4,0.27,18
8100630,Bread,Sandwich,Sandwich_5,0.28,18
9204641,Breakfast food,Cereal,Cereal_1,0.16,114
9204648,Breakfast food,Cereal,Cereal_2,0.16,50
9204669,Breakfast food,Cereal,Cereal_3,0.17,94
9206552,Breakfast food,Cereal,Cereal_4,0.18,34
9206559,Breakfast food,Cereal,Cereal_5,0.17,64
9207056,Breakfast food,Cereal,Cereal_6,0.15,61
9207063,Breakfast food,Cereal,Cereal_7,0.16,27
9215260,Breakfast food,Cereal,Cereal_8,0.18,36
9216667,Breakfast food,Cereal,Cereal_9,0.18,10
9216681,Breakfast food,Cereal,Cereal_10,0.18,10
9217171,Breakfast food,Cereal,Cereal_11,0.18,115
9217682,Breakfast food,Cereal,Cereal_12,0.18,74
9217703,Breakfast food,Cereal,Cereal_13,0.16,80
9217710,Breakfast food,Cereal,Cereal_14,0.16,76
9217717,Breakfast food,Cereal,Cereal_15,0.18,111
9217731,Breakfast food,Cereal,Cereal_16,0.17,76
9217745,Breakfast food,Cereal,Cereal_17,0.16,85
9217759,Breakfast food,Cereal,Cereal_18,0.15,37
9217766,Breakfast food,Cereal,Cereal_19,0.18,71
9217773,Breakfast food,Cereal,Cereal_20,0.15,119
9217780,Breakfast food,Cereal,Cereal_21,0.17,76
9217787,Breakfast food,Cereal,Cereal_22,0.18,76
9217794,Breakfast food,Cereal,Cereal_23,0.15,116
9201211,Breakfast food,Museli,Museli_1,0.16,76
9201232,Breakfast food,Museli,Museli_2,0.18,76
9201253,Breakfast food,Museli,Museli_3,0.17,104
9201281,Breakfast food,Museli,Museli_4,0.15,76
9201295,Breakfast food,Museli,Museli_5,0.15,76
9201330,Breakfast food,Museli,Museli_6,0.18,134
9201470,Breakfast food,Museli,Museli_7,0.16,134
9201554,Breakfast food,Museli,Museli_8,0.18,76
9207896,Breakfast food,Museli,Museli_9,0.17,99
9208071,Breakfast food,Museli,Museli_10,0.17,99
9212313,Breakfast food,Museli,Museli_11,0.15,89
9217801,Breakfast food,Museli,Museli_12,0.15,40
9217808,Breakfast food,Museli,Museli_13,0.15,80
9201106,Breakfast food,Porridge,Porridge_1,0.18,101
9201120,Breakfast food,Porridge,Porridge_2,0.17,63
9201127,Breakfast food,Porridge,Porridge_3,0.17,65
9201141,Breakfast food,Porridge,Porridge_4,0.18,76
9206545,Breakfast food,Porridge,Porridge_5,0.16,30
9208197,Breakfast food,Porridge,Porridge_6,0.15,76
9217101,Canned food+soups,Can Fruits,Can Fruits_1,0.27,79
9217108,Canned food+soups,Can Fruits,Can Fruits_2,0.3,84
9217115,Canned food+soups,Can Fruits,Can Fruits_3,0.29,84
9204816,Canned food+soups,Can Meat,Can Meat_1,0.26,124
9211445,Canned food+soups,Can Sea Food,Can Sea Food_1,0.3,40
9211501,Canned food+soups,Can Sea Food,Can Sea Food_2,0.26,40
9213020,Canned food+soups,Can Sea Food,Can Sea Food_3,0.28,40
9214343,Canned food+soups,Can Sea Food,Can Sea Food_4,0.27,40
9214385,Canned food+soups,Can Sea Food,Can Sea Food_5,0.29,40
9214413,Canned food+soups,Can Sea Food,Can Sea Food_6,0.27,40
9214588,Canned food+soups,Can Sea Food,Can Sea Food_7,0.29,40
9201708,Canned food+soups,Can Vegetables,Can Vegetables_1,0.3,53
9206762,Canned food+soups,Can Vegetables,Can Vegetables_2,0.29,40
9206769,Canned food+soups,Can Vegetables,Can Vegetables_3,0.29,68
9216856,Canned food+soups,Can Vegetables,Can Vegetables_4,0.3,54
9203003,Canned food+soups,Non Veg Soup,Non Veg Soup_1,0.29,40
9203059,Canned food+soups,Non Veg Soup,Non Veg Soup_2,0.27,40
9203129,Canned food+soups,Non Veg Soup,Non Veg Soup_3,0.29,30
9205453,Canned food+soups,Non Veg Soup,Non Veg Soup_4,0.26,30
9205460,Canned food+soups,Non Veg Soup,Non Veg Soup_5,0.25,30
9207959,Canned food+soups,Non Veg Soup,Non Veg Soup_6,0.29,29
9208323,Canned food+soups,Non Veg Soup,Non Veg Soup_7,0.28,33
9211025,Canned food+soups,Non Veg Soup,Non Veg Soup_8,0.26,40
9202996,Canned food+soups,Veg Soup,Veg Soup_1,0.25,28
9203010,Canned food+soups,Veg Soup,Veg Soup_2,0.26,40
9203017,Canned food+soups,Veg Soup,Veg Soup_3,0.29,30
9203087,Canned food+soups,Veg Soup,Veg Soup_4,0.26,40
9203094,Canned food+soups,Veg Soup,Veg Soup_5,0.29,30
9203101,Canned food+soups,Veg Soup,Veg Soup_6,0.27,40
9203115,Canned food+soups,Veg Soup,Veg Soup_7,0.27,40
9203122,Canned food+soups,Veg Soup,Veg Soup_8,0.28,40
9205432,Canned food+soups,Veg Soup,Veg Soup_9,0.25,29
9205439,Canned food+soups,Veg Soup,Veg Soup_10,0.25,33
9205446,Canned food+soups,Veg Soup,Veg Soup_11,0.27,29
9205467,Canned food+soups,Veg Soup,Veg Soup_12,0.3,29
9205474,Canned food+soups,Veg Soup,Veg Soup_13,0.25,30
9205481,Canned food+soups,Veg Soup,Veg Soup_14,0.3,40
9206748,Canned food+soups,Veg Soup,Veg Soup_15,0.25,40
9207889,Canned food+soups,Veg Soup,Veg Soup_16,0.27,35
9207903,Canned food+soups,Veg Soup,Veg Soup_17,0.25,35
9207924,Canned food+soups,Veg Soup,Veg Soup_18,0.3,35
9207966,Canned food+soups,Veg Soup,Veg Soup_19,0.25,15
9207973,Canned food+soups,Veg Soup,Veg Soup_20,0.25,30
9207980,Canned food+soups,Veg Soup,Veg Soup_21,0.3,30
9207987,Canned food+soups,Veg Soup,Veg Soup_22,0.3,15
9207994,Canned food+soups,Veg Soup,Veg Soup_23,0.27,40
9208330,Canned food+soups,Veg Soup,Veg Soup_24,0.26,33
9208337,Canned food+soups,Veg Soup,Veg Soup_25,0.3,33
9208351,Canned food+soups,Veg Soup,Veg Soup_26,0.27,40
9211004,Canned food+soups,Veg Soup,Veg Soup_27,0.28,40
9211011,Canned food+soups,Veg Soup,Veg Soup_28,0.26,40
9211018,Canned food+soups,Veg Soup,Veg Soup_29,0.25,30
9211032,Canned food+soups,Veg Soup,Veg Soup_30,0.3,30
9211039,Canned food+soups,Veg Soup,Veg Soup_31,0.29,40
9214602,Canned food+soups,Veg Soup,Veg Soup_32,0.3,29
9216016,Canned food+soups,Veg Soup,Veg Soup_33,0.3,27
110801,Confectionery,Flavors,Flavors_1,0.3,29
110808,Confectionery,Flavors,Flavors_2,0.33,29
110815,Confectionery,Flavors,Flavors_3,0.33,29
110990,Confectionery,Flavors,Flavors_4,0.33,5
112516,Confectionery,Flavors,Flavors_5,0.31,29
103213,Confectionery,Gift Pack,Gift Pack_1,0.33,29
103241,Confectionery,Gift Pack,Gift Pack_2,0.33,29
103402,Confectionery,Gift Pack,Gift Pack_3,0.3,29
103416,Confectionery,Gift Pack,Gift Pack_4,0.31,29
103556,Confectionery,Gums,Gums_1,0.33,29
103563,Confectionery,Gums,Gums_2,0.32,29
103570,Confectionery,Gums,Gums_3,0.33,10
103577,Confectionery,Gums,Gums_4,0.3,29
103584,Confectionery,Gums,Gums_5,0.31,30
103605,Confectionery,Gums,Gums_6,0.31,29
103612,Confectionery,Gums,Gums_7,0.32,29
103619,Confectionery,Gums,Gums_8,0.3,29
104067,Confectionery,Gums,Gums_9,0.32,5
106153,Confectionery,Gums,Gums_10,0.3,10
106601,Confectionery,Gums,Gums_11,0.32,29
108694,Confectionery,Gums,Gums_12,0.33,10
108764,Confectionery,Gums,Gums_13,0.32,5
108771,Confectionery,Gums,Gums_14,0.33,5
108778,Confectionery,Gums,Gums_15,0.31,30
108785,Confectionery,Gums,Gums_16,0.3,29
109373,Confectionery,Gums,Gums_17,0.31,10
109730,Confectionery,Gums,Gums_18,0.33,29
110451,Confectionery,Gums,Gums_19,0.31,29
110458,Confectionery,Gums,Gums_20,0.33,5
110465,Confectionery,Gums,Gums_21,0.31,29
111844,Confectionery,Gums,Gums_22,0.32,5
106314,Confectionery,Iclair,Iclair_1,0.33,29
106846,Confectionery,Iclair,Iclair_2,0.32,99
106853,Confectionery,Iclair,Iclair_3,0.33,29
106860,Confectionery,Iclair,Iclair_4,0.32,29
106888,Confectionery,Iclair,Iclair_5,0.31,50
110710,Confectionery,Iclair,Iclair_6,0.3,29
110717,Confectionery,Iclair,Iclair_7,0.31,29
110724,Confectionery,Iclair,Iclair_8,0.31,29
110731,Confectionery,Iclair,Iclair_9,0.33,29
110738,Confectionery,Iclair,Iclair_10,0.3,29
112033,Confectionery,Iclair,Iclair_11,0.32,29
103199,Confectionery,Mallows/ Jelly,Mallows/ Jelly_1,0.31,29
103283,Confectionery,Mallows/ Jelly,Mallows/ Jelly_2,0.3,20
103451,Confectionery,Milk/ Dairy,Milk/ Dairy_1,0.33,29
105509,Confectionery,Milk/ Dairy,Milk/ Dairy_2,0.32,29
105880,Confectionery,Milk/ Dairy,Milk/ Dairy_3,0.33,29
106783,Confectionery,Milk/ Dairy,Milk/ Dairy_4,0.33,5
106790,Confectionery,Milk/ Dairy,Milk/ Dairy_5,0.31,10
106797,Confectionery,Milk/ Dairy,Milk/ Dairy_6,0.31,10
106804,Confectionery,Milk/ Dairy,Milk/ Dairy_7,0.32,10
106825,Confectionery,Milk/ Dairy,Milk/ Dairy_8,0.3,29
106832,Confectionery,Milk/ Dairy,Milk/ Dairy_9,0.31,3
106867,Confectionery,Milk/ Dairy,Milk/ Dairy_10,0.31,29
106881,Confectionery,Milk/ Dairy,Milk/ Dairy_11,0.32,5
110514,Confectionery,Milk/ Dairy,Milk/ Dairy_12,0.3,29
110605,Confectionery,Milk/ Dairy,Milk/ Dairy_13,0.32,5
110619,Confectionery,Milk/ Dairy,Milk/ Dairy_14,0.31,10
110822,Confectionery,Milk/ Dairy,Milk/ Dairy_15,0.3,89
110829,Confectionery,Milk/ Dairy,Milk/ Dairy_16,0.3,5
110836,Confectionery,Milk/ Dairy,Milk/ Dairy_17,0.3,10
110843,Confectionery,Milk/ Dairy,Milk/ Dairy_18,0.33,13
110850,Confectionery,Milk/ Dairy,Milk/ Dairy_19,0.32,20
110857,Confectionery,Milk/ Dairy,Milk/ Dairy_20,0.31,50
110864,Confectionery,Milk/ Dairy,Milk/ Dairy_21,0.31,50
111816,Confectionery,Milk/ Dairy,Milk/ Dairy_22,0.33,30
112124,Confectionery,Milk/ Dairy,Milk/ Dairy_23,0.31,29
112502,Confectionery,Milk/ Dairy,Milk/ Dairy_24,0.33,29
112509,Confectionery,Milk/ Dairy,Milk/ Dairy_25,0.31,35
103724,Confectionery,Mint,Mint_1,0.3,29
108400,Confectionery,Mint,Mint_2,0.31,10
108680,Confectionery,Mint,Mint_3,0.33,29
108708,Confectionery,Mint,Mint_4,0.31,29
108715,Confectionery,Mint,Mint_5,0.33,10
110472,Confectionery,Mint,Mint_6,0.32,29
110479,Confectionery,Mint,Mint_7,0.31,10
103255,Confectionery,Nuts,Nuts_1,0.32,29
103458,Confectionery,Nuts,Nuts_2,0.3,29
110563,Confectionery,Nuts,Nuts_3,0.3,30
110570,Confectionery,Nuts,Nuts_4,0.32,29
110577,Confectionery,Nuts,Nuts_5,0.31,29
110584,Confectionery,Nuts,Nuts_6,0.31,54
110591,Confectionery,Nuts,Nuts_7,0.32,89
110598,Confectionery,Nuts,Nuts_8,0.31,29
110612,Confectionery,Nuts,Nuts_9,0.3,12
110626,Confectionery,Nuts,Nuts_10,0.3,29
110871,Confectionery,Nuts,Nuts_11,0.3,89
112488,Confectionery,Nuts,Nuts_12,0.3,35
112495,Confectionery,Nuts,Nuts_13,0.31,20
110675,Confectionery,Pan Sweets,Pan Sweets_1,0.3,5
110682,Confectionery,Pan Sweets,Pan Sweets_2,0.31,15
110696,Confectionery,Pan Sweets,Pan Sweets_3,0.32,25
112222,Confectionery,Pan Sweets,Pan Sweets_4,0.3,29
101512,Confectionery,Rolls & Pops,Rolls & Pops_1,0.32,5
102079,Confectionery,Speciality Chocolate,Speciality Chocolate_1,0.31,29
110703,Confectionery,Speciality Chocolate,Speciality Chocolate_2,0.3,168
110759,Confectionery,Speciality Chocolate,Speciality Chocolate_3,0.3,173
110780,Confectionery,Speciality Chocolate,Speciality Chocolate_4,0.31,29
103878,Confectionery,Sugar Boiled,Sugar Boiled_1,0.3,50
103913,Confectionery,Sugar Boiled,Sugar Boiled_2,0.3,29
105768,Confectionery,Sugar Boiled,Sugar Boiled_3,0.32,50
105775,Confectionery,Sugar Boiled,Sugar Boiled_4,0.31,29
105803,Confectionery,Sugar Boiled,Sugar Boiled_5,0.32,38
106111,Confectionery,Sugar Boiled,Sugar Boiled_6,0.3,62
106629,Confectionery,Sugar Boiled,Sugar Boiled_7,0.3,29
108393,Confectionery,Sugar Boiled,Sugar Boiled_8,0.31,82
108638,Confectionery,Sugar Boiled,Sugar Boiled_9,0.33,30
108645,Confectionery,Sugar Boiled,Sugar Boiled_10,0.32,10
108652,Confectionery,Sugar Boiled,Sugar Boiled_11,0.31,29
108666,Confectionery,Sugar Boiled,Sugar Boiled_12,0.32,10
108687,Confectionery,Sugar Boiled,Sugar Boiled_13,0.32,29
108792,Confectionery,Sugar Boiled,Sugar Boiled_14,0.3,20
109324,Confectionery,Sugar Boiled,Sugar Boiled_15,0.31,29
110535,Confectionery,Sugar Boiled,Sugar Boiled_16,0.32,29
110542,Confectionery,Sugar Boiled,Sugar Boiled_17,0.31,29
111837,Confectionery,Sugar Boiled,Sugar Boiled_18,0.3,29
111872,Confectionery,Sugar Boiled,Sugar Boiled_19,0.31,29
111879,Confectionery,Sugar Boiled,Sugar Boiled_20,0.31,29
112040,Confectionery,Sugar Boiled,Sugar Boiled_21,0.3,29
112047,Confectionery,Sugar Boiled,Sugar Boiled_22,0.33,54
103325,Confectionery,Sugar Candy,Sugar Candy_1,0.3,29
105453,Confectionery,Waffer,Waffer_1,0.3,29
106755,Confectionery,Waffer,Waffer_2,0.31,29
106769,Confectionery,Waffer,Waffer_3,0.3,10
106776,Confectionery,Waffer,Waffer_4,0.33,5
110500,Confectionery,Waffer,Waffer_5,0.33,15
110654,Confectionery,Waffer,Waffer_6,0.33,10
110661,Confectionery,Waffer,Waffer_7,0.3,30
110668,Confectionery,Waffer,Waffer_8,0.3,5
110885,Confectionery,Waffer,Waffer_9,0.31,29
112159,Confectionery,Waffer,Waffer_10,0.33,5
112411,Confectionery,Waffer,Waffer_11,0.33,35
112418,Confectionery,Waffer,Waffer_12,0.32,6
112425,Confectionery,Waffer,Waffer_13,0.33,12
112530,Confectionery,Waffer,Waffer_14,0.31,40
113342,Confectionery,Waffer,Waffer_15,0.33,29
9206433,Dessert Mixes,Baking Ingredients,Baking Ingredients_1,0.24,19
9206461,Dessert Mixes,Baking Ingredients,Baking Ingredients_2,0.23,28
9206468,Dessert Mixes,Baking Ingredients,Baking Ingredients_3,0.25,18
9208386,Dessert Mixes,Baking Ingredients,Baking Ingredients_4,0.23,18
9213244,Dessert Mixes,Baking Ingredients,Baking Ingredients_5,0.24,40
9213720,Dessert Mixes,Baking Ingredients,Baking Ingredients_6,0.22,40
9201659,Dessert Mixes,Cake/Frosting,Cake/Frosting_1,0.21,40
9206146,Dessert Mixes,Cake/Frosting,Cake/Frosting_2,0.23,50
9206776,Dessert Mixes,Cake/Frosting,Cake/Frosting_3,0.2,40
9206783,Dessert Mixes,Cake/Frosting,Cake/Frosting_4,0.21,40
9206790,Dessert Mixes,Cake/Frosting,Cake/Frosting_5,0.25,40
9206797,Dessert Mixes,Cake/Frosting,Cake/Frosting_6,0.24,59
9206818,Dessert Mixes,Cake/Frosting,Cake/Frosting_7,0.2,139
9206986,Dessert Mixes,Cake/Frosting,Cake/Frosting_8,0.24,50
9203045,Dessert Mixes,Condensed Milk,Condensed Milk_1,0.21,57
9206160,Dessert Mixes,Custard Mix,Custard Mix_1,0.24,32
9206167,Dessert Mixes,Custard Mix,Custard Mix_2,0.25,28
9206440,Dessert Mixes,Custard Mix,Custard Mix_3,0.21,25
9206447,Dessert Mixes,Custard Mix,Custard Mix_4,0.23,25
9218004,Dessert Mixes,Custard Mix,Custard Mix_5,0.2,25
9205929,Dessert Mixes,Dessert Mix,Dessert Mix_1,0.23,47
9206202,Dessert Mixes,Dessert Mix,Dessert Mix_2,0.23,40
9206209,Dessert Mixes,Dessert Mix,Dessert Mix_3,0.21,40
9206216,Dessert Mixes,Dessert Mix,Dessert Mix_4,0.2,26
